Atleta,Pais,WOD 1,,WOD 2.A,,WOD 2.B,
,,Puntos,Detalle,Puntos,Detalle,Puntos,Detalle
Daniel Velez,Paises Bajos,4,9:13,6,77 Saltos,7,135 lbs
Jorge Santa,Austria,12,"11:00
9 Burpees",5,130 Saltos,2,155 lbs
Mauro Salazar,Francia,1,8:08,9,59 Saltos,4,145 lbs
Franc Martinez,Canada,7,"9:59
Tiebreak 4:20",8,65 Saltos,3,145 lbs
Diego Prieto,Jordania,11,"11:00
17 Burpees",12,15 Saltos,12,115 lbs
Coco,Irak,6,"9:59
Tiebreak 3:56",7,73 Saltos,11,115 lbs
Miguel Murillo,Noruega,8,10:39,4,130 Saltos,1,195 lbs
JuanJo Cardona,Egipto,3,8:58,1,228 Saltos,9,125 lbs
Mateo de la Cruz,Estados Unidos,9,"11:00
16 Burpees",3,137 Saltos,6,135 lbs
Mateo Escobar,Uruguay,5,9:36,11,33 Saltos,10,125 lbs
Tian Diaz,Suiza,10,11:00,10,49 Saltos,8,130 lbs
Pipe Villa,Argelia,2,8:27,2,138 Saltos,5,135 lbs
